vid,Year,value.S1,value.S10,value.S100,value.S101,value.S102,value.S103,value.S11,value.S12,value.S13,value.S14,value.S15,value.S16,value.S17,value.S18,value.S19,value.S2,value.S20,value.S21,value.S22,value.S23,value.S24,value.S25,value.S26,value.S27,value.S28,value.S29,value.S3,value.S30,value.S31,value.S32,value.S33,value.S34,value.S35,value.S36,value.S37,value.S38,value.S39,value.S4,value.S40,value.S41,value.S42,value.S43,value.S44,value.S45,value.S46,value.S47,value.S48,value.S49,value.S5,value.S50,value.S51,value.S52,value.S53,value.S54,value.S55,value.S56,value.S57,value.S58,value.S59,value.S6,value.S60,value.S61,value.S62,value.S63,value.S64,value.S65,value.S66,value.S67,value.S68,value.S69,value.S7,value.S70,value.S71,value.S72,value.S73,value.S74,value.S75,value.S76,value.S77,value.S78,value.S79,value.S8,value.S80,value.S81,value.S82,value.S83,value.S84,value.S85,value.S86,value.S87,value.S88,value.S89,value.S9,value.S90,value.S91,value.S92,value.S93,value.S94,value.S95,value.S96,value.S97,value.S98,value.S99
4,2006,0,3788.2,1716.99,2760,0,0,0,0,0,0,0,0,36372,170.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,11799,2695,0,0,0,7737.6,1125,0,0,0,0,0,0,73524,0,42984,0,0,0,4029.6,0,0,0,0,0,0,0,0,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11481,0,0,0,0,579,131.2,0,0,9607.5,0,0
4,2007,0,3394.88,745.5,1646.1,0,0,0,0,0,0,0,0,21543.28,95.85,0,0,0,193.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7631.82,758.28,0,0,0,21554.45,1155.28,0,0,0,0,0,0,40730.08,61.2,12556.2,0,0,0,48451.75,0,0,0,0,0,0,0,0,1532.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7600.7,0,0,0,0,187.09,0,0,0,15241.92,0,0
4,2008,0,4104.42,1182.62,2439.39,0,0,0,0,0,0,0,63.96,32337.17,720,0,0,0,337.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.8,10278.19,2432.52,0,11.44,0,8663.92,742.14,108.75,0,0,0,168,0,29672.01,0,16611.93,0,0,0,5942.5,0,0,0,0,0,0,0,0,2245.51,98.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14568.84,0,0,0,0,189.9,0,0,0,20961.39,0,0
4,2009,0,4105.04,874.88,4322.98,0,0,0,0,0,0,0,50,18857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.2,0,0,0,0,0,0,0,0,0,0,64.5,10194.08,1010.08,0,0,0,2606.46,410.6,0,0,0,0,0,0,33668.29,0,16663.99,0,0,0,934.35,0,0,0,0,0,0,0,0,973,233.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11569.89,0,0,0,0,753.2,401.5,0,0,10795.57,0,0
4,2010,0,4554.13,1911,6380,0,0,0,0,0,0,0,0,9990.15,549,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,1626,5909.03,744.61,0,0,0,804.96,387,19.6,0,0,0,286,0,28382.35,100.8,7003.16,0,0,0,96047.6,0,0,0,0,0,0,0,0,1090.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7408.86,0,0,0,0,0,715,0,0,8780.522,0,0
4,2011,0,2853,5507.43,2615.76,0,0,0,0,0,0,0,0,5186.3,102.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,0,0,0,0,0,0,0,0,0,0,8583.4,7955.09,235.3,0,0,0,9312.35,515.5,81.48,0,0,0,70,0,21672.31,0,14150.33,0,0,0,101443.99,0,0,0,0,0,0,0,0,899.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1854.46,0,0,0,0,0,0,0,0,6981.38,0,0
4,2012,0,7036.702,9152.63,3212,0,0,0,0,0,0,0,0,14975.38,120.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1704,0,0,0,0,0,0,0,0,0,0,27184.7,22774.49,45,0,0,0,2704.93,914,159.25,0,0,0,0,0,42568.06,0,25761.62,0,0,0,28098.84,0,0,0,0,0,0,0,0,4189.95,157.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8689.98,0,0,0,0,0,518.8,0,0,14833.29,0,0
4,2013,0,4713.546242,11738.13767,5137.466753,0,0,0,0,0,0,0,0,13630.67395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1741.699335,0,0,0,0,0,0,0,0,0,0,20157.69222,23461.53064,394.0187679,0,0,0,2933.732431,2165.574895,513.6322865,0,0,0,0,0,55280.30473,0,26922.08987,0,0,0,35760.99623,0,0,0,0,0,0,0,0,2783.766722,150.3366433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8570.422073,0,0,0,0,0,0,0,0,8617.867181,0,0
4,2014,0,5873.024239,27568.64515,7137.925092,0,0,0,0,0,0,0,0,21101.28522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752.8766461,0,0,0,0,0,0,0,0,0,0,15626.14748,20231.87398,1533.4662,0,0,0,2826.74487,3723.863402,225.6735723,0,0,0,0,0,54320.59867,0,27538.58423,0,0,0,54161.67982,0,0,0,0,0,0,0,0,3764.179117,3491.901884,0,0,0,0,0,0,0,0,0,0,0,0,0,49.31442257,0,0,0,0,0,0,0,0,10314.61356,0,0,0,0,0,0,0,0,16043.5928,0,0
4,2015,0,1868.558582,7026.171186,4671.317112,0,0,0,0,0,0,0,0,26465.85023,0,0,0,0,545.1595353,0,0,0,0,0,0,0,0,0,2159.333363,0,0,0,0,0,0,0,0,0,0,18475.28585,10642.47654,578.7296776,0,0,0,1789.022647,1019.875727,51.03283005,0,0,0,0,0,28730.47915,0,19983.76472,0,0,0,3206.38867,0,0,0,0,0,0,0,0,2829.16499,83.04442572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4001.974723,0,0,0,0,0,0,0,0,14269.23047,0,0
