Reference Number,Vessel  ID,Year,Segment,Size Category,Capacity (GT),Length,Capacity Index,Size Index, Total Number of vessels in Segment , Total Active Vessels in Segment , Total Engine Power (kW) for Segment-Size , Total Capacity (GT)  for Segment-Size , Average Length for Segment ,Total Jobs,FTE,  Fishing Income,Non Fishing Income,Total Income, Wages,Energy Costs (Fuel),Repairs & Maintenance,Filters/Lube Oil,Provisions,Ice,Dues & Levies,Sundry Variable Costs,Total Variable Costs,Insurance,Loan Interest,Accountancy,Legal Fees,Sundry fixed costs,Total Fixed Costs,TOTAL COSTS,GROSS PROFIT,Depreciation,Sundry receipts,Net Profit / (Loss)
196,198,2009,DTS,24-40,236.9,23.8,5.5,3.2,31,30,"15,612","6,866",26.5,19.0,12.0,"€1,167,258","€68,480","€1,235,738","€248,394","€198,201","€177,537",,"€22,986",,,€0,"€647,118","€31,079","€47,707","€3,549",,"€33,296","€115,631","€762,749","€472,989","€278,692",,"€194,297"
197,240,2009,FPO,12-18,11.9,14.3,2.5,2.7,21,19,"2,325",372,13.0,3.0,2.0,"€10,166",,"€10,166",,"€6,800","€1,500",,,,,"€1,000","€9,300","€1,700",,"€2,000",,€0,"€3,700","€13,000","-€2,834",,,"-€2,834"
198,156,2009,DRB,10-12,10.7,10.8,2.4,2.4,51,20,"4,546",500,10.9,3.0,2.0,"€126,219","€1,000","€127,219",,"€18,000","€8,300",,,,€750,€0,"€27,050","€3,500",,"€5,000",,€0,"€8,500","€35,550","€91,669",,,"€91,669"
199,305,2009,FPO,10-12,11.1,10.3,2.4,2.3,113,86,"9,141","1,149",11.1,2.0,1.5,"€40,423",,"€40,423",,"€5,065","€12,000",,,,€60,€815,"€17,940","€1,600",,"€1,000",,€0,"€2,600","€20,540","€19,884",,,"€19,884"
200,196,2009,TM,40-70,"1,469.0",62.7,7.3,4.1,21,20,"40,645","27,587",55.4,12.0,6.5,"€5,258,324","€48,162","€5,306,486","€922,380","€706,091","€905,042",,"€42,291",,"€55,325",€0,"€2,631,129","€113,470","€129,163","€19,000","€22,827","€93,799","€378,259","€3,009,388","€2,297,098","€553,411",,"€1,743,687"
201,242,2009,FPO,00-10,2.8,7.3,1.0,2.0,688,523,"15,980","1,361",6.5,2.0,1.5,"€64,610",,"€64,610",,"€1,437","€5,824",,,,,"€2,985","€10,246",,,€941,,€0,€941,"€11,187","€53,423",,,"€53,423"
202,244,2009,FPO,10-12,11.0,12.0,2.4,2.5,113,86,"9,141","1,149",11.1,2.0,1.5,"€16,335",,"€16,335",,"€1,075",€910,,,,,€630,"€2,615","€4,300",,"€1,200",,€0,"€5,500","€8,115","€8,220",,,"€8,220"
203,4,2009,DTS,24-40,122.2,24.4,4.8,3.2,31,30,"15,612","6,866",26.5,3.0,2.5,"€180,915",,"€180,915","€26,766","€51,606","€13,859",,,,,€0,"€92,231","€16,549","€1,900","€1,322",,"€37,881","€57,652","€149,883","€31,032","€23,361",,"€7,671"
204,181,2009,FPO,00-10,2.7,7.2,1.0,2.0,688,523,"15,980","1,361",6.5,2.0,1.0,€977,,€977,,"€6,600","€4,500",,,,€100,"€4,320","€15,520","€2,000",,€900,,€0,"€2,900","€18,420","-€17,443",,,"-€17,443"
205,343,2009,DTS,24-40,171.0,25.1,5.1,3.2,31,30,"15,612","6,866",26.5,13.0,9.0,"€1,288,557",,"€1,288,557","€381,968","€389,913","€140,042","€2,673","€34,232",,,"€38,854","€987,682","€21,368","€40,782","€5,000",,"€54,844","€121,994","€1,109,676","€178,881","€20,000",,"€158,881"
206,76,2009,FPO,12-18,33.6,15.9,3.5,2.8,21,19,"2,325",372,13.0,3.0,0.5,"€122,467",,"€122,467","€52,123","€18,289","€11,202",€486,,,"€1,600",€0,"€83,700",,,"€2,000",,"€3,248","€5,248","€88,948","€33,519",,,"€33,519"
207,355,2009,FPO,10-12,16.1,12.3,2.8,2.5,113,86,"9,141","1,149",11.1,2.0,1.5,,,€0,,,"€3,000",,,,,€0,"€3,000","€48,000",,€500,,€500,"€49,000","€52,000","-€52,000",,,"-€52,000"
208,246,2009,DTS,12-18,43.1,14.8,3.8,2.7,58,56,"9,613","2,471",15.1,2.0,2.0,"€111,551",,"€111,551","€15,520","€22,733","€16,858",,"€8,302",€708,€655,"€9,600","€74,376","€10,502",,"€1,495",,"€4,300","€16,297","€90,673","€20,878","€7,550",,"€13,328"
209,199,2009,TM,40-70,696.2,41.0,6.5,3.7,21,20,"40,645","27,587",55.4,12.0,12.0,"€2,507,990","€4,238","€2,512,228","€509,184","€181,614","€95,988",,"€25,157",,"€42,870","€119,497","€974,310","€70,394","€245,648","€22,611","€10,136","€17,454","€366,243","€1,340,553","€1,171,675","€522,325",,"€649,350"
210,126,2009,FPO,10-12,11.5,10.4,2.4,2.3,113,86,"9,141","1,149",11.1,2.0,1.5,€13,,€13,,"€6,000","€4,500",,,,"€2,000","€6,000","€18,500",,,"€1,700",,€0,"€1,700","€20,200","-€20,187",,,"-€20,187"
211,169,2009,DTS,24-40,239.2,25.5,5.5,3.2,31,30,"15,612","6,866",26.5,7.0,7.0,"€514,401",,"€514,401","€43,519","€61,417","€34,454","€7,342","€13,445","€5,564","€14,964","€75,098","€255,803","€30,500","€59,360","€3,406",,"€17,881","€111,147","€366,950","€147,451","€132,262","€36,374","€51,563"
212,73,2009,DFN,10-12,11.3,10.5,2.4,2.3,44,20,"3,098",444,10.9,2.0,1.5,€933,,€933,,"€4,200","€5,000",,,,,€750,"€9,950",,,"€1,200",,"€1,600","€2,800","€12,750","-€11,817",,,"-€11,817"
213,145,2009,DTS,18-24,197.6,21.3,5.3,3.1,65,65,"25,509","8,744",21.6,10.0,9.0,"€659,361",,"€659,361","€105,405","€135,079","€183,072","€1,606","€18,271",,,€0,"€443,433","€24,863","€38,103","€1,800",,"€8,633","€73,399","€516,832","€142,529",,,"€142,529"
214,176,2009,DTS,24-40,232.2,28.8,5.4,3.4,31,30,"15,612","6,866",26.5,9.0,7.0,"€1,141,474",,"€1,141,474","€154,243","€277,902","€133,962",€395,"€33,228","€5,000","€5,000","€74,634","€684,364","€36,914",,"€3,610","€2,956","€372,825","€416,305","€1,100,669","€40,805","€25,134",,"€15,671"
216,85,2009,DRB,10-12,8.0,10.3,2.1,2.3,51,20,"4,546",500,10.9,2.0,1.5,"€25,343",,"€25,343",,"€11,000","€4,225",,,,"€1,200",€0,"€16,425",,,€700,,€200,€900,"€17,325","€8,018",,,"€8,018"
217,253,2009,TM,24-40,200.0,23.2,5.3,3.1,14,12,"10,190","4,831",30.9,7.0,7.0,"€434,200",,"€434,200","€81,724","€82,613","€73,233",,"€14,811","€6,113","€8,698","€34,735","€301,927","€49,440","€13,121","€8,634",,"€14,069","€85,264","€387,191","€47,009","€52,757",,"-€5,748"
218,18,2009,DTS,18-24,104.5,21.8,4.6,3.1,65,65,"25,509","8,744",21.6,4.0,4.0,"€407,710",,"€407,710","€90,309","€81,365","€8,459","€3,950","€9,089","€1,749","€3,319","€49,089","€247,329","€11,000","€12,886",€690,,"€31,986","€56,562","€303,891","€103,819","€50,878",,"€52,941"
219,175,2009,DTS,18-24,164.6,22.3,5.1,3.1,65,65,"25,509","8,744",21.6,6.0,6.0,"€378,906",,"€378,906","€106,007","€109,399","€77,457",,"€9,110","€3,427",,€239,"€305,639","€21,694","€6,730","€1,950",€100,"€7,386","€37,860","€343,499","€35,407","€75,307",,"-€39,900"
220,186,2009,FPO,10-12,11.5,11.3,2.4,2.4,113,86,"9,141","1,149",11.1,2.0,1.5,,,€0,,"€33,583","€31,047",,,,"€3,000","€5,434","€73,064","€5,000",,"€1,523",,€680,"€7,203","€80,267","-€80,267",,,"-€80,267"
221,592,2009,FPO,00-10,2.9,8.6,1.1,2.2,688,523,"15,980","1,361",6.5,2.0,1.0,"€18,347",,"€18,347",,"€6,000","€2,200",,,,,"€4,000","€12,200",,,€850,,€150,"€1,000","€13,200","€5,147",,,"€5,147"
222,179,2009,FPO,00-10,3.4,8.8,1.2,2.2,688,523,"15,980","1,361",6.5,2.0,1.5,"€79,895",,"€79,895",,"€1,200","€1,500",,,,€600,"€3,000","€6,300","€1,000",,"€1,000",,€0,"€2,000","€8,300","€71,595",,,"€71,595"
223,383,2009,DRB,10-12,5.6,11.3,1.7,2.4,51,20,"4,546",500,10.9,2.0,1.5,"€29,388",,"€29,388",,"€1,350","€2,150",,,,,€0,"€3,500",€450,,,,€0,€450,"€3,950","€25,438",,,"€25,438"
224,128,2009,FPO,00-10,4.2,9.0,1.4,2.2,688,523,"15,980","1,361",6.5,2.0,1.0,"€70,628",,"€70,628",,"€1,400",€700,,,,"€1,100","€3,432","€6,632","€1,120",,€720,,€0,"€1,840","€8,472","€62,156",,,"€62,156"
225,154,2009,FPO,00-10,5.1,8.8,1.6,2.2,688,523,"15,980","1,361",6.5,2.0,1.0,"€3,218",,"€3,218",,"€2,140",€480,,,,,"€1,665","€4,285","€1,800",,,,€0,"€1,800","€6,085","-€2,867",,,"-€2,867"
226,259,2009,FPO,10-12,5.5,11.2,1.7,2.4,113,86,"9,141","1,149",11.1,2.0,1.5,"€36,813",,"€36,813",,"€1,700","€1,700",,,,,"€2,400","€5,800",,,€500,,€100,€600,"€6,400","€30,413",,,"€30,413"
227,260,2009,FPO,00-10,3.5,8.1,1.3,2.1,688,523,"15,980","1,361",6.5,2.0,1.5,"€6,916",,"€6,916",,€398,€400,,,,,€307,"€1,105",,,"€1,000",,€100,"€1,100","€2,205","€4,711",,,"€4,711"
228,122,2009,FPO,00-10,3.8,7.9,1.3,2.1,688,523,"15,980","1,361",6.5,2.0,1.0,€150,,€150,,"€7,210","€1,990",,,,,€0,"€9,200","€1,400",,"€2,000",,€0,"€3,400","€12,600","-€12,450",,,"-€12,450"
229,431,2009,FPO,00-10,2.1,7.4,0.7,2.0,688,523,"15,980","1,361",6.5,2.0,1.5,"€26,008",,"€26,008",,€786,€206,,,,€500,"€1,525","€3,017",,,€365,,€0,€365,"€3,382","€22,626",,,"€22,626"
230,415,2009,FPO,00-10,3.1,7.0,1.1,2.0,688,523,"15,980","1,361",6.5,2.0,1.0,€304,,€304,,€301,"€2,200",,,,,€527,"€3,028",,,"€1,000",,€50,"€1,050","€4,078","-€3,774",,,"-€3,774"
231,89,2009,DRB,10-12,7.4,9.5,2.0,2.3,51,20,"4,546",500,10.9,3.0,2.0,"€16,053",,"€16,053",,"€4,770","€9,500",,,,"€2,850",€300,"€17,420","€3,800",,"€1,100",,€300,"€5,200","€22,620","-€6,567",,,"-€6,567"
232,140,2009,FPO,00-10,5.1,10.3,1.6,2.3,688,523,"15,980","1,361",6.5,3.0,1.5,"€225,770",,"€225,770",,"€20,000","€4,500",,,,€700,"€11,233","€36,433","€1,900",,€600,,€0,"€2,500","€38,933","€186,837",,,"€186,837"
234,138,2009,FPO,00-10,6.2,7.5,1.8,2.0,688,523,"15,980","1,361",6.5,2.0,1.0,€100,,€100,,"€7,500",€500,,,,,"€12,000","€20,000","€2,500",,"€4,500",,€0,"€7,000","€27,000","-€26,900",,,"-€26,900"
235,47,2009,DTS,18-24,148.5,21.8,5.0,3.1,65,65,"25,509","8,744",21.6,13.0,13.0,"€518,097",,"€518,097","€68,325","€118,263","€134,066",,"€22,172",€615,"€6,556","€16,066","€366,063","€22,773","€40,205","€12,400",,"€16,606","€91,984","€458,047","€60,050","€61,856",,"-€1,806"
236,193,2009,DTS,24-40,387.3,35.4,6.0,3.6,31,30,"15,612","6,866",26.5,15.0,11.2,"€959,802",,"€959,802","€118,493","€428,500","€161,499","€7,598","€23,696",,,"€11,164","€750,950","€43,515","€99,209","€1,800","€14,520","€7,636","€166,680","€917,630","€42,172","€72,956","€18,854","-€11,930"
238,647,2009,FPO,00-10,2.3,6.0,0.8,1.8,688,523,"15,980","1,361",6.5,2.0,1.0,"€20,988",,"€20,988",,"€1,700",€500,,,,,"€3,500","€5,700",€761,,€972,,€150,"€1,883","€7,583","€13,405",,,"€13,405"
239,39,2009,DTS,18-24,131.9,23.1,4.9,3.1,65,65,"25,509","8,744",21.6,7.0,7.0,"€388,406","€4,558","€392,964","€139,740","€69,960","€142,984",,"€15,308",,,€0,"€367,992","€24,103","€15,749","€3,250",€90,"€9,464","€52,656","€420,648","-€27,684","€41,708",,"-€69,392"
240,9,2009,TM,40-70,676.2,38.4,6.5,3.6,21,20,"40,645","27,587",55.4,11.0,11.0,"€2,386,965","€31,447","€2,418,412","€382,746","€189,543","€73,207",,"€11,303",,"€47,168","€156,369","€860,336","€43,601","€173,126","€15,000","€17,476","€164,566","€413,769","€1,274,105","€1,144,307","€636,973",,"€507,334"
241,6,2009,DTS,24-40,183.6,26.0,5.2,3.3,31,30,"15,612","6,866",26.5,6.0,6.0,"€292,685",,"€292,685","€79,119","€82,047","€56,160",,"€9,009","€4,629",,€0,"€230,964","€15,413",,"€1,950",,"€4,547","€21,910","€252,874","€39,811","€53,353",,"-€13,542"
242,266,2009,FPO,12-18,14.0,12.7,2.6,2.5,21,19,"2,325",372,13.0,2.0,2.0,"€49,973","€52,424","€102,397","€3,809","€5,122","€19,380","€9,980",€323,,,€0,"€38,614","€2,200",,"€2,200",,"€2,932","€7,332","€45,946","€56,451",,,"€56,451"
243,416,2009,DRB,10-12,14.5,10.9,2.7,2.4,51,20,"4,546",500,10.9,3.0,2.0,"€3,617","€1,000","€4,617",,"€3,000","€7,500",,,,"€2,600",€0,"€13,100",,,"€1,000",,€0,"€1,000","€14,100","-€9,483",,,"-€9,483"
244,92,2009,FPO,00-10,1.9,7.1,0.7,2.0,688,523,"15,980","1,361",6.5,2.0,1.0,"€3,918",,"€3,918",,"€1,050","€1,600",,,,,"€4,385","€7,035",,,€445,,€0,€445,"€7,480","-€3,562",,,"-€3,562"
245,84,2009,DRB,10-12,6.8,11.8,1.9,2.5,51,20,"4,546",500,10.9,3.0,2.0,"€5,674","€1,000","€6,674",,"€6,000","€4,000",,,,"€1,200",€0,"€11,200",,,€600,,€200,€800,"€12,000","-€5,326",,,"-€5,326"
246,400,2009,FPO,00-10,7.2,10.6,2.0,2.4,688,523,"15,980","1,361",6.5,2.0,1.0,"€44,063",,"€44,063",,"€15,690","€5,000",,,,,"€3,165","€23,855","€4,200",,"€3,500",,€350,"€8,050","€31,905","€12,158",,,"€12,158"
247,610,2009,FPO,00-10,1.1,5.9,0.1,1.8,688,523,"15,980","1,361",6.5,2.0,1.5,€442,,€442,,€650,€400,,,,,€0,"€1,050",,,,,€0,€0,"€1,050",-€608,,,-€608
248,540,2009,FPO,00-10,1.4,7.1,0.3,2.0,688,523,"15,980","1,361",6.5,2.0,1.5,"€17,593",,"€17,593",,"€3,252","€1,200",,,,,"€3,120","€7,572",,,,,€500,€500,"€8,072","€9,521",,,"€9,521"
249,446,2009,FPO,00-10,4.2,8.7,1.4,2.2,688,523,"15,980","1,361",6.5,3.0,2.0,"€1,289",,"€1,289",,"€7,200","€11,000",,,,,"€12,000","€30,200","€2,600",,"€1,000",,€0,"€3,600","€33,800","-€32,511",,,"-€32,511"
250,43,2009,DTS,18-24,156.0,24.4,5.0,3.2,65,65,"25,509","8,744",21.6,7.0,7.0,"€444,524",,"€444,524","€112,028","€142,530","€73,963",,,,"€5,331","€5,903","€339,755","€21,829","€62,727","€2,800",,"€22,274","€109,630","€449,385","-€4,861","€166,211",,"-€171,072"
252,191,2009,DTS,12-18,46.9,14.7,3.8,2.7,58,56,"9,613","2,471",15.1,2.0,2.0,"€167,589",,"€167,589",,"€36,391","€18,366",,"€5,400",,,€0,"€60,157","€7,960",,"€3,725",,"€25,254","€36,939","€97,096","€70,493","€6,585",,"€63,908"
253,192,2009,DTS,24-40,234.4,28.6,5.5,3.4,31,30,"15,612","6,866",26.5,,,"€708,796",,"€708,796","€96,412","€139,788","€142,083",,"€17,416","€6,434","€14,218","€50,708","€467,059","€35,877","€77,824","€4,500",,"€15,292","€133,493","€600,552","€108,244","€111,296","€72,992","€69,940"
254,184,2009,TM,24-40,574.1,38.3,6.4,3.6,14,12,"10,190","4,831",30.9,9.0,9.0,"€2,900,636",,"€2,900,636","€770,124","€208,009","€183,794",,"€17,102",,,"€214,464","€1,393,493","€76,953","€223,091","€17,500","€10,889","€21,229","€349,662","€1,743,155","€1,157,481","€1,083,000","€36,204","€110,685"
255,90,2009,FPO,00-10,5.4,10.8,1.7,2.4,688,523,"15,980","1,361",6.5,2.0,1.5,"€27,396",,"€27,396",,"€7,800","€5,020",,,,"€1,000","€10,980","€24,800",,,€700,,€0,€700,"€25,500","€1,896",,,"€1,896"
256,582,2009,FPO,00-10,6.7,9.0,1.9,2.2,688,523,"15,980","1,361",6.5,1.0,1.0,,,€0,,,,,,,,€0,€0,,,,,€0,€0,€0,€0,,,€0
257,577,2009,FPO,00-10,14.5,9.6,2.7,2.3,688,523,"15,980","1,361",6.5,4.0,2.5,,,€0,,"€6,000","€4,000",,,,€170,"€6,000","€16,170","€3,300",,"€7,500",,€0,"€10,800","€26,970","-€26,970",,,"-€26,970"
258,358,2009,TM,40-70,611.5,42.4,6.4,3.7,21,20,"40,645","27,587",55.4,10.0,6.0,"€3,240,340",,"€3,240,340","€938,180","€348,664","€322,399",,,,,€0,"€1,609,243","€81,062","€187,383","€1,472","€31,889","€273,131","€574,937","€2,184,180","€1,056,160","€222,974","€35,765","€868,951"
259,274,2009,DTS,12-18,106.7,17.6,4.7,2.9,58,56,"9,613","2,471",15.1,4.0,4.0,"€74,097",,"€74,097","€12,855","€12,144","€38,887","€1,629",,,,€901,"€66,416","€13,106","€13,543","€1,700",,"€1,217","€29,566","€95,982","-€21,885","€8,009",,"-€29,894"
260,78,2009,DTS,12-18,37.3,12.5,3.6,2.5,58,56,"9,613","2,471",15.1,2.0,2.0,"€144,466","€43,399","€187,865","€87,334","€19,557","€55,011",,"€3,362","€3,747",,"€10,955","€179,966","€6,447",,"€1,500","€4,096",€475,"€12,518","€192,484","-€4,619",,,"-€4,619"
261,561,2009,FPO,00-10,1.2,6.2,0.1,1.8,688,523,"15,980","1,361",6.5,3.0,2.0,"€1,661",,"€1,661",,€750,"€2,000",,,,,"€1,172","€3,922",€450,,,,€0,€450,"€4,372","-€2,711",,,"-€2,711"
262,276,2009,FPO,00-10,3.5,8.4,1.2,2.1,688,523,"15,980","1,361",6.5,2.0,1.5,€24,,€24,,€200,€100,,,,€50,€30,€380,,,€400,,€0,€400,€780,-€756,,,-€756
263,457,2009,FPO,10-12,8.1,11.0,2.1,2.4,113,86,"9,141","1,149",11.1,3.0,2.0,,,€0,,"€4,500","€3,050",,,,,"€5,760","€13,310",,,"€1,000",,€50,"€1,050","€14,360","-€14,360",,,"-€14,360"
264,101,2009,FPO,10-12,26.3,12.1,3.3,2.5,113,86,"9,141","1,149",11.1,3.0,2.0,"€2,346",,"€2,346",,"€10,000",,,,,,"€3,150","€13,150","€4,000",,,,€0,"€4,000","€17,150","-€14,804",,,"-€14,804"
266,168,2009,DTS,18-24,120.1,19.3,4.8,3.0,65,65,"25,509","8,744",21.6,5.0,1.6,"€547,275",,"€547,275","€223,806","€107,468","€94,298",,"€10,947",,,€0,"€436,519","€22,752","€58,327","€5,690","€1,500","€13,777","€102,046","€538,565","€8,710","€45,194",,"-€36,484"
267,418,2009,FPO,00-10,1.4,7.0,0.4,1.9,688,523,"15,980","1,361",6.5,2.0,1.5,€161,,€161,,€500,€685,,,,,€330,"€1,515",,,,,€0,€0,"€1,515","-€1,354",,,"-€1,354"
268,137,2009,FPO,00-10,8.6,10.3,2.2,2.3,688,523,"15,980","1,361",6.5,2.0,1.5,"€51,898",,"€51,898",,"€5,300","€2,500",,,,€384,"€2,700","€10,884","€2,700",,"€2,500",,€0,"€5,200","€16,084","€35,814",,,"€35,814"
269,185,2009,TM,24-40,491.7,34.3,6.2,3.5,14,12,"10,190","4,831",30.9,6.0,6.0,"€1,799,057","€13,154","€1,812,211","€292,649","€277,441","€92,593","€110,867","€14,806",,,"€115,312","€903,668","€48,900","€349,824","€6,384",,"€41,040","€446,148","€1,349,816","€462,395","€292,060","€16,563","€186,898"
270,24,2009,DTS,24-40,169.3,26.9,5.1,3.3,31,30,"15,612","6,866",26.5,13.0,11.0,"€749,949",,"€749,949","€202,089","€130,048","€182,896",,"€26,010","€1,590",,"€49,056","€591,689","€23,581","€16,503","€3,800","€1,087","€24,461","€69,432","€661,121","€88,828","€67,507","€10,448","€31,769"
271,321,2009,FPO,00-10,3.1,8.1,1.1,2.1,688,523,"15,980","1,361",6.5,3.0,2.0,"€17,009",,"€17,009",,€600,€450,,,,,€700,"€1,750",,,,,€0,€0,"€1,750","€15,259",,,"€15,259"
273,328,2009,DRB,24-40,177.7,27.0,5.2,3.3,30,2,"12,098","4,042",31.4,,,"€467,923",,"€467,923","€164,765","€113,532","€70,793",,"€12,523",,,€0,"€361,612","€31,382","€27,955",€713,,"€12,915","€72,964","€434,576","€33,347","€54,711",,"-€21,364"
274,357,2009,TM,40-70,598.8,45.4,6.4,3.8,21,20,"40,645","27,587",55.4,11.0,11.0,"€2,217,709","€75,238","€2,292,947","€712,593","€192,241","€299,983",,"€34,396","€38,731",,"€180,499","€1,458,443","€70,691","€195,081","€11,907","€4,684","€23,133","€305,496","€1,763,939","€529,008","€389,144",,"€139,864"
275,74,2009,FPO,10-12,12.7,11.1,2.5,2.4,113,86,"9,141","1,149",11.1,3.0,2.0,"€102,661",,"€102,661",,"€29,500","€9,000",,,,,"€3,450","€41,950",,,"€2,200",,€0,"€2,200","€44,150","€58,511",,,"€58,511"
276,342,2009,DTS,24-40,312.8,27.6,5.7,3.3,31,30,"15,612","6,866",26.5,15.0,11.0,"€1,380,568",,"€1,380,568","€274,108","€307,572","€204,238",,"€27,206",,"€3,720","€101,621","€918,465","€62,888","€36,620","€13,525","€2,520","€77,805","€193,358","€1,111,823","€268,745","€251,300",,"€17,445"
277,183,2009,TM,40-70,"1,429.2",64.1,7.3,4.2,21,20,"40,645","27,587",55.4,14.0,14.0,"€2,593,633",,"€2,593,633","€595,292","€478,755","€337,436",,"€32,164",,"€31,251",€464,"€1,475,362","€149,479","€253,065","€17,000","€105,776","€77,236","€602,556","€2,077,918","€515,715","€1,670,531",,"-€1,154,816"
278,285,2009,DTS,12-18,38.3,15.9,3.6,2.8,58,56,"9,613","2,471",15.1,5.0,5.0,"€98,643",,"€98,643","€15,568","€24,133","€19,260",,"€5,228","€3,380","€1,369","€8,589","€77,527","€6,800","€6,102","€1,290",,"€2,235","€16,427","€93,954","€4,689","€10,572",,"-€5,883"
279,315,2009,FPO,00-10,6.9,9.5,1.9,2.2,688,523,"15,980","1,361",6.5,2.0,1.5,"€26,376",,"€26,376",,"€3,000","€7,000",,,,,"€9,000","€19,000",€600,,"€1,500",,€0,"€2,100","€21,100","€5,276",,,"€5,276"
280,107,2009,FPO,10-12,16.5,11.5,2.8,2.4,113,86,"9,141","1,149",11.1,3.0,2.0,€553,,€553,,"€10,000","€4,000",,,,"€1,000","€12,000","€27,000","€8,000",,"€1,500",,€0,"€9,500","€36,500","-€35,947",,,"-€35,947"
281,173,2009,DTS,18-24,171.7,24.1,5.1,3.2,65,65,"25,509","8,744",21.6,14.0,4.3,"€441,030",,"€441,030","€115,283","€109,678","€30,999",,"€19,318",,,"€23,445","€298,723","€23,141","€23,420","€3,000",,"€14,036","€63,597","€362,320","€78,710",,,"€78,710"
282,287,2009,DFN,10-12,16.5,11.7,2.8,2.5,44,20,"3,098",444,10.9,3.0,2.0,€189,,€189,,"€3,300","€3,500",,,,€90,€300,"€7,190","€4,200",,€200,,€160,"€4,560","€11,750","-€11,561",,,"-€11,561"
284,114,2009,DTS,12-18,26.3,14.3,3.3,2.7,58,56,"9,613","2,471",15.1,2.0,2.0,"€121,355",,"€121,355","€10,591","€21,460","€2,404",,"€1,198",€600,"€1,139","€17,239","€54,631","€5,000","€16,612","€1,750",,"€3,308","€26,670","€81,301","€40,054","€45,163",,"-€5,109"
285,331,2009,DRB,10-12,7.3,10.4,2.0,2.3,51,20,"4,546",500,10.9,3.0,2.0,€112,,€112,,"€4,500","€3,000",,,,€300,€0,"€7,800",,,€850,,€0,€850,"€8,650","-€8,538",,,"-€8,538"
286,294,2009,DFN,10-12,12.2,10.5,2.5,2.4,44,20,"3,098",444,10.9,2.0,1.5,"€18,849",,"€18,849",,"€5,050","€3,200",,,,€170,€0,"€8,420","€5,200",,"€3,000",,€770,"€8,970","€17,390","€1,458",,,"€1,458"
287,207,2009,DTS,12-18,64.6,18.4,4.2,2.9,58,56,"9,613","2,471",15.1,4.0,3.2,"€173,401","€34,287","€207,688","€61,969","€42,596","€27,721",,"€1,980","€2,382","€1,463","€14,552","€152,663","€10,500",,"€5,495",,"€1,015","€17,010","€169,673","€38,015",,,"€38,015"
288,629,2009,FPO,00-10,1.6,5.9,0.5,1.8,688,523,"15,980","1,361",6.5,2.0,1.5,"€6,749",,"€6,749",,€560,€200,,,,,€645,"€1,405",,,€320,,€0,€320,"€1,725","€5,024",,,"€5,024"
289,325,2009,DTS,12-18,98.7,18.0,4.6,2.9,58,56,"9,613","2,471",15.1,9.0,7.0,"€384,597","€1,053","€385,650","€101,008","€123,604","€64,520","€32,543","€12,120","€2,088","€1,985","€12,756","€350,624",,"€8,080","€1,490",€94,"€10,209","€19,873","€370,497","€15,153","€87,500",,"-€72,347"
290,312,2009,DTS,12-18,22.8,14.6,3.1,2.7,58,56,"9,613","2,471",15.1,2.0,2.0,"€113,003","€5,593","€118,596","€1,780","€20,714","€5,648","€4,202","€1,774","€3,655","€2,549","€67,073","€107,395","€3,750",,"€3,025",,"€2,373","€9,148","€116,543","€2,053","€12,408",,"-€10,355"
291,308,2009,FPO,12-18,13.9,12.4,2.6,2.5,21,19,"2,325",372,13.0,2.0,1.2,"€8,026",,"€8,026",,"€1,600",€200,€50,,,,€0,"€1,850",,,,,€0,€0,"€1,850","€6,176",,,"€6,176"
292,300,2009,FPO,00-10,6.3,9.6,1.8,2.3,688,523,"15,980","1,361",6.5,2.0,1.5,"€55,011",,"€55,011",,"€2,288","€1,250",,,,,"€3,157","€6,695","€2,229",,€332,,€480,"€3,041","€9,736","€45,275",,,"€45,275"
293,603,2009,FPO,00-10,1.6,5.7,0.5,1.7,688,523,"15,980","1,361",6.5,2.0,1.5,€297,,€297,,€150,€200,,,,€40,€70,€460,€330,,€400,,€0,€730,"€1,190",-€893,,,-€893
294,48,2009,DTS,18-24,131.1,23.7,4.9,3.2,65,65,"25,509","8,744",21.6,13.0,6.0,"€744,541","€388,691","€1,133,232","€192,113","€186,471","€112,650",,"€23,082",€794,"€9,654",€0,"€524,764","€28,486","€45,837","€4,447","€3,691","€24,601","€107,062","€631,826","€501,406","€69,836",,"€431,570"
295,323,2009,TM,40-70,"1,027.4",57.3,6.9,4.0,21,20,"40,645","27,587",55.4,11.0,11.0,"€3,715,402","€7,747","€3,723,149","€845,751","€526,213","€381,919",,"€42,113",,"€88,884","€150,750","€2,035,630","€92,355","€706,023","€7,540","€1,000","€50,942","€857,860","€2,893,490","€829,659","€848,334",,"-€18,675"
296,62,2009,TM,40-70,451.2,41.9,6.1,3.7,21,20,"40,645","27,587",55.4,9.0,9.0,"€1,706,532",€880,"€1,707,412","€503,543","€144,693","€107,061",,"€21,226",,"€80,657","€88,760","€945,940","€55,001","€123,063","€16,370",,"€14,075","€208,509","€1,154,449","€552,963","€129,559",,"€423,404"
298,25,2010,DTS,18-24,104.0,18.3,4.6,2.9,65,64,"25,890","8,937",21.6,5.0,5.0,"€446,626",€811,"€447,437","€123,963","€142,649","€42,437",€436,"€12,906",€60,"€1,680","€30,853","€354,984","€8,200","€16,058","€4,450",,"€8,792","€37,500","€392,484","€54,953","€26,000",,"€28,953"
