Reference Number,Vessel  ID,Year,Segment,Size Category,Capacity (GT),Length,Capacity Index,Size Index, Total Number of vessels in Segment , Total Active Vessels in Segment , Total Engine Power (kW) for Segment-Size , Total Capacity (GT)  for Segment-Size , Average Length for Segment ,Total Jobs,FTE,  Fishing Income,Non Fishing Income,Total Income, Wages,Energy Costs (Fuel),Repairs & Maintenance,Filters/Lube Oil,Provisions,Ice,Dues & Levies,Sundry Variable Costs,Total Variable Costs,Insurance,Loan Interest,Accountancy,Legal Fees,Sundry fixed costs,Total Fixed Costs,TOTAL COSTS,GROSS PROFIT,Depreciation,Sundry receipts,Net Profit / (Loss)
22,208,2008,DTS,24-40,195.7,23.5,5.3,3.2,35,31,"19,210","8,419",27.0,7.0,4.3,"€120,636",,"€120,636","€17,344","€65,755","€6,356",€247,"€5,886","€3,190","€4,201","€1,470","€104,449","€13,361","€52,193","€6,196",,"€16,446","€88,196","€192,645","-€72,009","€1,529","-€408,467","-€482,005"
23,203,2008,DFN,10-12,21.6,12.1,3.1,2.5,37,23,"2,870",417,11.0,2.0,2.0,"€107,000","€5,230","€112,230",,"€12,754","€14,781",,,€898,,€0,"€28,433","€6,878","€8,448","€1,525","€1,472","€5,066","€23,389","€51,822","€60,408","€15,851",,"€44,557"
24,705,2008,DRB,24-40,98.4,26.2,4.6,3.3,33,4,"13,172","4,413",31.1,3.0,3.0,"€526,369",,"€526,369","€95,463","€130,351","€55,801",,"€11,193",€90,"€1,624","€31,699","€326,221","€23,220","€35,230","€2,349",,"€77,580","€138,379","€464,600","€61,769","€51,634",,"€10,135"
25,322,2008,FPO,00-10,4.2,7.8,1.4,2.0,"1,034",818,"24,012","2,311",6.7,3.0,2.0,,,€0,,"€5,380","€1,000",,,,€300,€600,"€7,280","€2,800",,"€1,400",,€400,"€4,600","€11,880","-€11,880",,,"-€11,880"
26,231,2008,TM,24-40,279.0,28.1,5.6,3.3,14,14,"9,270","4,260",29.1,8.0,8.0,"€1,182,546",,"€1,182,546","€516,051","€135,909","€115,693",,"€14,266",,"€18,506","€24,649","€825,074","€46,208",,"€6,025","€4,500","€31,952","€88,685","€913,759","€268,787","€296,847",,"-€28,060"
27,44,2008,DTS,18-24,99.2,22.0,4.6,3.1,85,76,"31,631","11,163",21.3,4.0,4.0,"€479,380","€31,327","€510,707","€148,702","€154,975","€27,864",,"€13,107","€5,916",,"€81,048","€431,612","€14,738",,"€3,400",€375,"€4,181","€22,694","€454,306","€56,401","€91,688",,"-€35,287"
28,630,2008,FPO,00-10,4.6,6.7,1.5,1.9,"1,034",818,"24,012","2,311",6.7,2.0,1.5,"€5,285",,"€5,285",,"€1,655",€320,,,,€1,€350,"€2,326",,,€490,,€0,€490,"€2,816","€2,469",,,"€2,469"
29,238,2008,FPO,10-12,9.4,11.5,2.2,2.4,135,106,"10,708","1,301",11.0,4.0,2.5,€107,,€107,,"€8,500","€1,000",,,,,€400,"€9,900",,,€363,,€20,€383,"€10,283","-€10,176",,,"-€10,176"
30,239,2008,FPO,00-10,6.4,9.9,1.9,2.3,"1,034",818,"24,012","2,311",6.7,1.0,1.0,,,€0,,,,,,,,€0,€0,,,,,€0,€0,€0,€0,,,€0
31,198,2008,DTS,24-40,236.9,23.8,5.5,3.2,35,31,"19,210","8,419",27.0,18.0,11.3,"€1,305,581","€77,617","€1,383,198","€308,488","€378,065","€150,956",,"€25,199",,,"€19,379","€882,087","€22,791","€110,007","€3,191",,"€27,590","€163,579","€1,045,666","€337,532","€278,192",,"€59,340"
32,36,2008,DTS,18-24,81.8,19.2,4.4,3.0,85,76,"31,631","11,163",21.3,4.0,4.0,"€248,316",,"€248,316","€82,143","€43,838","€16,396","€1,110","€2,165","€1,000","€1,195","€25,565","€173,412","€7,831",,"€2,000",,"€4,583","€14,414","€187,826","€60,490","€5,901",,"€54,589"
33,146,2008,FPO,00-10,8.5,10.6,2.1,2.4,"1,034",818,"24,012","2,311",6.7,2.0,1.0,,,€0,,,,,,,,€0,€0,,,,,€0,€0,€0,€0,,,€0
34,305,2008,FPO,10-12,11.1,10.3,2.4,2.3,135,106,"10,708","1,301",11.0,3.0,2.0,"€26,812",,"€26,812",,"€6,669","€1,500",,,,,"€9,731","€17,900","€3,200",,"€1,500",,€90,"€4,790","€22,690","€4,122",,,"€4,122"
35,196,2008,TM,40-70,"1,469.0",62.7,7.3,4.1,20,20,"39,750","27,208",56.2,,,"€3,689,471","€35,336","€3,724,807","€656,964","€628,913","€374,766",,"€21,942",,"€59,792",€0,"€1,742,377","€116,461","€238,164","€18,500","€17,838","€93,570","€484,533","€2,226,910","€1,497,897","€525,175",,"€972,722"
36,242,2008,FPO,00-10,2.8,7.3,1.0,2.0,"1,034",818,"24,012","2,311",6.7,1.0,1.0,,,€0,,,,,,,,€0,€0,,,,,€0,€0,€0,€0,,,€0
37,244,2008,FPO,10-12,11.0,12.0,2.4,2.5,135,106,"10,708","1,301",11.0,3.0,2.0,"€43,336",,"€43,336",,"€2,359",€80,,,,,"€1,092","€3,531","€4,420",,"€1,210",,€0,"€5,630","€9,161","€34,175",,,"€34,175"
38,345,2008,TM,24-40,267.3,28.6,5.6,3.4,14,14,"9,270","4,260",29.1,15.0,11.0,"€823,040",,"€823,040","€215,248","€140,426","€159,718","€4,933","€20,184","€5,522","€2,335",€622,"€548,988","€36,628","€153,867","€3,390","€4,050","€15,215","€213,150","€762,138","€60,902","€91,102",,"-€30,200"
39,245,2008,DTS,24-40,162.4,22.0,5.1,3.1,35,31,"19,210","8,419",27.0,6.0,6.0,"€325,740",€144,"€325,884","€95,206","€57,623","€100,216",,"€12,812",€158,"€6,022","€2,749","€274,786","€15,691","€2,815","€3,514",,"€14,921","€36,941","€311,727","€14,157","€13,953","€13,149","€13,353"
40,343,2008,DTS,24-40,171.0,25.1,5.1,3.2,35,31,"19,210","8,419",27.0,13.0,9.0,"€1,338,983",,"€1,338,983","€452,987","€322,514","€171,806",,"€34,839",,,€0,"€982,146","€26,714","€40,662","€4,500",,"€57,722","€129,598","€1,111,744","€227,239","€20,000","€5,486","€212,725"
41,13,2008,DTS,24-40,182.3,24.7,5.2,3.2,35,31,"19,210","8,419",27.0,6.0,3.5,"€576,493",,"€576,493","€141,988","€196,492","€98,683",,"€13,875","€8,323","€2,144","€11,889","€473,394","€22,343","€43,765","€1,408",,"€9,809","€77,325","€550,719","€25,774","€33,253",,"-€7,479"
42,355,2008,FPO,10-12,16.1,12.3,2.8,2.5,135,106,"10,708","1,301",11.0,1.0,1.0,,,€0,,,,,,,,€0,€0,,,,,€0,€0,€0,€0,,,€0
44,373,2008,FPO,00-10,1.4,6.9,0.4,1.9,"1,034",818,"24,012","2,311",6.7,3.0,2.0,"€15,777",,"€15,777",,"€1,350",€400,,,,,€300,"€2,050",,,,,€500,€500,"€2,550","€13,227",,,"€13,227"
